Наименование,Зарплата,Компания,Локация,Описание,Доп. инфа
Backend developer (Python),от 300000 KZT,ТОО Click Logistics,Алматы,Option pool.Коммерческий опыт программирования на Python от 2 лет. Знакомство Machine Learning будет плюсом. С# и знакомство с Unity будет большим...,Можно работать из дома
Junior Back-end/Go Developer,,ТОО LEOPART CENTER,Алматы,"Разработка новых продуктов, используя микросервисный подход (охват более 2 тыс b2b клиентов). Использование различных инструментов разработки: SQL/NoSQL...Знание одного и/или нескольких backend языков (Golang(приоритетный), C/C, PHP, Python, C#, Java). Знание Git. Опыт работы с...",ТОО LEOPART CENTER
Python/Django Web Developer (Remote),4000 – 6000 USD,Soshace,Алматы,"TrCr* is a platform-as-a-service provider that enables fintechs to build next-generation banking and investment products. Experience with RabbitMQ, Kafka, ElasticSearch, data streamingReady and want to work with multiple technologies. Experience with Python Django and Django...",Можно работать из дома
Backend Jun+ / Middle разработчик (Python/Node.js),300000 – 800000 KZT,ТОО GLOBAL Innotion,Алматы,Участие в разработке веб-приложений. Разработка архитектуры баз данных. Разрабатывать и развивать бэкенд платформ Компании и мобильных приложений (новые фичи...Опыт работы с технологиями контейнеризации приложений: Docker/Kubernetes. Знание Rest API. Знание Nginx. Python Flask / Node.js. Знание PostgreSql.,ТОО GLOBAL Innotion
Аналитик (Data Analyst),,АО Jusan Bank,Алматы,"...в Python или иных технологий. Очищать и подготавливать выгруженные данные для дальнейшей аналитики. Анализировать данные при помощи Excel, Python или...Высшее образование. От 2-х лет в аналитике данных. Обязательно - SQL, Excel , желательно - MS Power BI, SAP BI, Python.",АО Jusan Bank
QA Manual инженер / стажер,,ЧК ITS PARTNER LTD.,Алматы,"Проект Arlo представляет собой систему домашнего видеонаблюдения, эволюционирующую в полноценную систему Smart Home, стартовал шесть лет назад и находится на...При успешном прохождении стажировки, стажер уже имеет работу и знания по проекту и технологиям. Практика англ.яз. Опыт в проекте, ориентированном...",ЧК ITS PARTNER LTD.
Python developer,,Chocofamily,Алматы,"Работа с Rest API для интеграции с другими системами (внешние, внутренние). Плотная работа с данными в SQL через django-orm...Требования к знаниям и навыкам: Уверенный опыт работы с Django, FastAPI, DRF, Django-ORM, Git, Swagger или PostmanCollection, Celery, Redis.",Chocofamily
Senior DevOps in Blockchain Startup,315000 – 860000 руб.,Петухова Алия,Алматы,"Разработка и тех. обслуживание за счет внедрения инструментов, которые автоматизируют работу и улучшат процесс разработки. Автоматизация delivery-процессов и capacity...Опыт работы с крупномасштабными распределенными средами. Опыт разработки с помощью Go, Python или других языков. Опыт работы с Docker, Kubernetes...",Петухова Алия
Senior Python Developer,,ТОО Prime Source,Алматы,"Посещение регулярных встреч для обсуждения текущей работы и будущих целей наших проектов.В связи с активным ростом и развитием, открыта позиция Senior Python разработчика в зарубежный проект, который способен брать ответственность за...",ТОО Prime Source
Data Analyst (Middle/Senior),,inDriver,Алматы,"Сбор, анализ и обработка внутренних данных. Составление и подготовка статистической отчетности по запросам от отделов. Аналитика и прогнозы. Базовые знания теории вероятностей, математической статистики, линейной алгебры. Знания Python, SQL. Знания основных продуктовых метрик (LTV, ARPU, Retention и т...",inDriver
